RowIndex,Reason,OriginalLine
106,IBI out of range,Row 106 | Timestamp: 1712016480472 ms | PPG(Green=2191851, Red=2191851, Ir=2191851) | ACC(X=1.64061343669891, Y=0.77599823474884, Z=9.6544713973999) | HR=87 bpm | IBI=0 ms | Participant=P15
107,IBI out of range,Row 107 | Timestamp: 1712016480512 ms | PPG(Green=2193221, Red=2193221, Ir=2193221) | ACC(X=1.59989750385284, Y=0.843059778213501, Z=9.77901458740234) | HR=86 bpm | IBI=0 ms | Participant=P15
108,IBI out of range,Row 108 | Timestamp: 1712016480552 ms | PPG(Green=2194733, Red=2194733, Ir=2194733) | ACC(X=1.60229253768921, Y=0.716121792793274, Z=9.65926170349121) | HR=86 bpm | IBI=0 ms | Participant=P15
109,IBI out of range,Row 109 | Timestamp: 1712016480593 ms | PPG(Green=2196424, Red=2196424, Ir=2196424) | ACC(X=1.61666297912598, Y=0.81671416759491, Z=9.65926170349121) | HR=85 bpm | IBI=0 ms | Participant=P15
110,IBI out of range,Row 110 | Timestamp: 1712016480632 ms | PPG(Green=2198365, Red=2198365, Ir=2198365) | ACC(X=1.65977394580841, Y=0.795158624649048, Z=9.7382984161377) | HR=84 bpm | IBI=0 ms | Participant=P15
111,IBI out of range,Row 111 | Timestamp: 1712016480675 ms | PPG(Green=2200264, Red=2200264, Ir=2200264) | ACC(X=1.60468769073486, Y=0.665825605392456, Z=9.70716285705566) | HR=84 bpm | IBI=0 ms | Participant=P15
112,IBI out of range,Row 112 | Timestamp: 1712016480712 ms | PPG(Green=2202515, Red=2202515, Ir=2202515) | ACC(X=1.54002118110657, Y=0.728097081184387, Z=9.62812614440918) | HR=83 bpm | IBI=0 ms | Participant=P15
113,IBI out of range,Row 113 | Timestamp: 1712016480752 ms | PPG(Green=2205389, Red=2205389, Ir=2205389) | ACC(X=1.60468769073486, Y=0.704146504402161, Z=9.79817485809326) | HR=83 bpm | IBI=0 ms | Participant=P15
114,IBI out of range,Row 114 | Timestamp: 1712016480793 ms | PPG(Green=2208724, Red=2208724, Ir=2208724) | ACC(X=1.41787326335907, Y=0.732887208461761, Z=9.68321228027344) | HR=84 bpm | IBI=0 ms | Participant=P15
115,IBI out of range,Row 115 | Timestamp: 1712016480832 ms | PPG(Green=2213101, Red=2213101, Ir=2213101) | ACC(X=1.65019369125366, Y=0.725702047348022, Z=9.69758224487305) | HR=84 bpm | IBI=0 ms | Participant=P15
