RowIndex,Reason,OriginalLine
96,HeartRate out of range,Row 96 | Timestamp: 1711604685432 ms | PPG(Green=2128007, Red=2128007, Ir=2128007) | ACC(X=5.23080253601074, Y=-0.37362876534462, Z=7.74561166763306) | HR=0 bpm | IBI=0 ms | Participant=P13
97,HeartRate out of range,Row 97 | Timestamp: 1711604685471 ms | PPG(Green=2127803, Red=2127803, Ir=2127803) | ACC(X=5.44396257400513, Y=-1.13765168190002, Z=7.46059989929199) | HR=0 bpm | IBI=0 ms | Participant=P13
98,HeartRate out of range,Row 98 | Timestamp: 1711604685511 ms | PPG(Green=2125489, Red=2125489, Ir=2125489) | ACC(X=6.12176370620728, Y=-0.378418862819672, Z=6.6941819190979) | HR=0 bpm | IBI=0 ms | Participant=P13
99,HeartRate out of range,Row 99 | Timestamp: 1711604685551 ms | PPG(Green=2123285, Red=2123285, Ir=2123285) | ACC(X=5.17571640014648, Y=1.82742786407471, Z=8.91679382324219) | HR=0 bpm | IBI=0 ms | Participant=P13
100,HeartRate out of range,Row 100 | Timestamp: 1711604685591 ms | PPG(Green=2120634, Red=2120634, Ir=2120634) | ACC(X=4.79969263076782, Y=2.56510519981384, Z=8.50484466552734) | HR=0 bpm | IBI=0 ms | Participant=P13
101,HeartRate out of range,Row 101 | Timestamp: 1711604685632 ms | PPG(Green=2119076, Red=2119076, Ir=2119076) | ACC(X=4.24882984161377, Y=3.28601717948914, Z=5.63317203521729) | HR=0 bpm | IBI=0 ms | Participant=P13
102,HeartRate out of range,Row 102 | Timestamp: 1711604685671 ms | PPG(Green=2120632, Red=2120632, Ir=2120632) | ACC(X=3.57821393013, Y=6.02596139907837, Z=6.04512166976929) | HR=0 bpm | IBI=0 ms | Participant=P13
103,HeartRate out of range,Row 103 | Timestamp: 1711604685712 ms | PPG(Green=2124369, Red=2124369, Ir=2124369) | ACC(X=4.6416187286377, Y=9.77901458740234, Z=5.63077688217163) | HR=0 bpm | IBI=0 ms | Participant=P13
104,HeartRate out of range,Row 104 | Timestamp: 1711604685752 ms | PPG(Green=2126209, Red=2126209, Ir=2126209) | ACC(X=5.17332124710083, Y=10.224494934082, Z=5.08709955215454) | HR=0 bpm | IBI=0 ms | Participant=P13
105,HeartRate out of range,Row 105 | Timestamp: 1711604685792 ms | PPG(Green=2125966, Red=2125966, Ir=2125966) | ACC(X=6.45946645736694, Y=7.42946434020996, Z=4.25601482391357) | HR=0 bpm | IBI=0 ms | Participant=P13
106,HeartRate out of range,Row 106 | Timestamp: 1711604685833 ms | PPG(Green=2121930, Red=2121930, Ir=2121930) | ACC(X=7.13726758956909, Y=5.55174016952515, Z=4.79250764846802) | HR=0 bpm | IBI=0 ms | Participant=P13
107,HeartRate out of range,Row 107 | Timestamp: 1711604685872 ms | PPG(Green=2116218, Red=2116218, Ir=2116218) | ACC(X=7.55879735946655, Y=3.7578432559967, Z=6.81632995605469) | HR=0 bpm | IBI=0 ms | Participant=P13
108,HeartRate out of range,Row 108 | Timestamp: 1711604685912 ms | PPG(Green=2111264, Red=2111264, Ir=2111264) | ACC(X=8.03301811218262, Y=2.60342597961426, Z=5.56371545791626) | HR=0 bpm | IBI=0 ms | Participant=P13
109,HeartRate out of range,Row 109 | Timestamp: 1711604685952 ms | PPG(Green=2105828, Red=2105828, Ir=2105828) | ACC(X=8.62699222564697, Y=1.55439150333405, Z=4.68951988220215) | HR=0 bpm | IBI=0 ms | Participant=P13
110,HeartRate out of range,Row 110 | Timestamp: 1711604685992 ms | PPG(Green=2105251, Red=2105251, Ir=2105251) | ACC(X=6.74687337875366, Y=-0.56523323059082, Z=5.90620851516724) | HR=0 bpm | IBI=0 ms | Participant=P13
111,HeartRate out of range,Row 111 | Timestamp: 1711604686033 ms | PPG(Green=2104637, Red=2104637, Ir=2104637) | ACC(X=5.49904918670654, Y=1.41547822952271, Z=10.2077293395996) | HR=0 bpm | IBI=0 ms | Participant=P13
