x,y,z,timestamp
-23,-23,55,1712017391875000
-23,-23,55,1712017391906250
-23,-23,55,1712017391937500
-23,-23,55,1712017391968750
-23,-23,54,1712017392000000
-23,-23,56,1712017392031250
-23,-23,55,1712017392062500
-23,-23,54,1712017392093750
-23,-23,55,1712017392125000
-23,-23,55,1712017392156250
-23,-23,55,1712017392187500
-23,-22,55,1712017392218750
-23,-23,55,1712017392250000
-23,-23,55,1712017392281250
-23,-23,55,1712017392312500
-23,-23,55,1712017392343750
-23,-23,55,1712017392375000
-23,-23,55,1712017392406250
-23,-23,55,1712017392437500
-23,-23,55,1712017392468750
-23,-23,55,1712017392500000
-23,-23,55,1712017392531250
-23,-23,55,1712017392562500
-23,-23,55,1712017392593750
-23,-23,55,1712017392625000
-23,-23,55,1712017392656250
-23,-23,55,1712017392687500
-23,-23,55,1712017392718750
-23,-23,55,1712017392750000
-23,-23,55,1712017392781250
-23,-23,55,1712017392812500
-23,-23,55,1712017392843750
-23,-23,55,1712017392875000
-23,-23,55,1712017392906250
-23,-23,55,1712017392937500
-23,-23,55,1712017392968750
-23,-23,55,1712017393000000
-23,-23,55,1712017393031250
-23,-23,55,1712017393062500
-23,-23,55,1712017393093750
-23,-23,55,1712017393125000
-23,-23,55,1712017393156250
-23,-23,55,1712017393187500
-23,-23,55,1712017393218750
-23,-23,55,1712017393250000
-23,-23,55,1712017393281250
-23,-23,55,1712017393312500
-23,-23,55,1712017393343750
-23,-23,55,1712017393375000
-23,-23,55,1712017393406250
-24,-23,55,1712017393437500
-23,-23,55,1712017393468750
-23,-23,54,1712017393500000
-23,-23,55,1712017393531250
-23,-23,55,1712017393562500
-23,-23,55,1712017393593750
-23,-23,55,1712017393625000
-23,-23,55,1712017393656250
-23,-23,55,1712017393687500
-23,-23,55,1712017393718750
-23,-23,55,1712017393750000
-23,-23,55,1712017393781250
-23,-23,55,1712017393812500
-23,-23,55,1712017393843750
-23,-23,55,1712017393875000
-23,-23,55,1712017393906250
-23,-23,55,1712017393937500
-23,-23,55,1712017393968750
-23,-23,55,1712017394000000
-23,-23,55,1712017394031250
-24,-23,55,1712017394062500
-23,-23,55,1712017394093750
-23,-23,54,1712017394125000
-23,-23,55,1712017394156250
-23,-23,55,1712017394187500
-23,-23,55,1712017394218750
-23,-23,54,1712017394250000
-23,-23,55,1712017394281250
-23,-23,55,1712017394312500
-23,-23,55,1712017394343750
-23,-23,55,1712017394375000
-23,-23,55,1712017394406250
-23,-23,55,1712017394437500
-23,-23,55,1712017394468750
-23,-23,55,1712017394500000
-23,-23,55,1712017394531250
-23,-23,54,1712017394562500
-23,-23,55,1712017394593750
-23,-23,55,1712017394625000
-23,-23,55,1712017394656250
-23,-23,55,1712017394687500
-23,-23,55,1712017394718750
-23,-23,55,1712017394750000
-23,-23,55,1712017394781250
-23,-23,55,1712017394812500
-23,-23,55,1712017394843750
-23,-23,55,1712017394875000
-23,-23,55,1712017394906250
-23,-23,55,1712017394937500
-23,-23,54,1712017394968750
-23,-23,55,1712017395000000
-23,-23,55,1712017395031250
-23,-23,55,1712017395062500
-23,-23,55,1712017395093750
-23,-23,55,1712017395125000
-23,-23,55,1712017395156250
-23,-23,55,1712017395187500
-23,-23,55,1712017395218750
-23,-23,55,1712017395250000
-23,-23,55,1712017395281250
-23,-23,54,1712017395312500
-24,-23,55,1712017395343750
-23,-23,55,1712017395375000
-23,-23,55,1712017395406250
-23,-23,55,1712017395437500
-23,-23,55,1712017395468750
-23,-23,55,1712017395500000
-23,-23,55,1712017395531250
-23,-23,54,1712017395562500
-23,-23,55,1712017395593750
-24,-23,55,1712017395625000
-23,-23,55,1712017395656250
-23,-23,54,1712017395687500
-23,-23,55,1712017395718750
-23,-23,55,1712017395750000
-23,-23,54,1712017395781250
-24,-23,54,1712017395812500
-23,-23,55,1712017395843750
-23,-23,54,1712017395875000
-23,-23,55,1712017395906250
-23,-23,55,1712017395937500
-23,-23,54,1712017395968750
-23,-23,55,1712017396000000
-23,-23,55,1712017396031250
-23,-23,55,1712017396062500
-23,-23,55,1712017396093750
-23,-23,55,1712017396125000
-23,-23,55,1712017396156250
-23,-23,55,1712017396187500
-23,-23,55,1712017396218750
